Column1,Class
 Retrieving duplicate records with the same _id from secondaries.,L0
 auth1.js in replicasets failing on all windows variants,L0
 Deadlock exceptions thrown during delete unsafe and skip documents,L0
 Wired tiger aborts with unicode collection names,L0
 command line option --durOptions not working,L0
 listCollections and getIndexes empty on wiredtiger when using old shell,L0
 RecordIterator should not return false for isEOF() after returning true on a previous call,L0
 LockerImpl::lock() may leak locks when given a timeout,L0
 Btree head changes not rolled back.,L0
 tailable cursor may miss uncommitted documents,L0
 Deadlock with the WiredTiger storage engine between ListDatabases and DropCollection,L0
" replSetInitiate races with initial sync, resulting in no primary",L0
 Chunk migration data structures not properly synchronized with storage engines that offer document-level locking,L0
" ""chunks out of order"" error during md5sum command ",L0
 Performance regression has been introduced by f59a05c611d66a03c1fb8579b54569bfc2971374,L0
 mongos does not fail when different configdb string is used,L0
 --repair fails if there are multiple collections with outdated WT index versions,L0
 SEGFAULT in WriteBatchExecutor,L0
 mongod hung running mongo-perf,L0
 Index contains extra entries,L0
" FindAndModify no longer returns ""value"" if upsert results in an insert and ""new"" is false",L0
"add ""this"" as a local root so don't crash",L1
dupicate results with multi-key indexes,L1
$inc with compound indexes,L1
$inc adding random fields,L1
shouldn't be able to delete indx namespaces,L1
Server fails on dataset -  database corruption,L1
Build fail in util/allocator.h,L1
shell crashes when calling next() on a cursor that's at the end,L1
"cursors on capped collections can ""skip"" objects",L1
map/reduce kaboom,L1
The build process breaks with an error in shell/dbshell.cpp,L1
dates before epoch sorting,L1
Queries with $exists operator on indexed key return on results,L1
Compound sort fails when involving _id,L1
replica pairs keep growing,L1
fork causes weird blocks,L1
namespace chaining can break with deleted namespaces,L1
" ""mmap failed with out of memory"" on 64-bit host",L1
 mixed size updates can cause oplog problems,L1
 Shell from 1.3.x can't connect to 1.2.x sever,L1
" Uncaught std::exception: St9bad_alloc, terminating",L1
 replication --only broken on master and slave,L1
 optime doesn't handle clock skew,L1
 $inc updates on nested fields are incorrect in opLog,L1
 logout command causes db segfault,L1
 Memory leak and high memory usage from snapshots thread,L1
 Authentication & replication = exit on startup,L1
 set tcp timeout for pairing,L1
 mapReduce fails on large sharded collection,L1
 Severe memory leak in mongos on simple queries,L1
 mongos proces crash during setShardVersion (solaris),L1
 no unit tests for sharded coll stats,L1
 Pre-Epoch Dates Converted to Future Dates,L1
 followupExtentSize can occasional return invalid data,L1
 sharding getLastError only reports mongod error,L1
 $ operator and $set can behave poorly with replication,L1
 utf8 error causes Segmentation fault while deleting a Map/Reduce temporary collection,L1
 ObjectId as shard key broken,L1
 USR1 breaks server when rotating logs,L1
 don't allow dbs with different casing (WAS: Using not existing Database in shell client should not stop the database server),L1
 replication $inc issue with multiple fields,L1
 Invalid cross-device link when repairDatabase() is called with --repairpath using a path on another file system,L1
 Do not redefine _WIN32,L1
 Mongo cursor return less entities than it has.,L1
 BSONObjBuilder does not handle uint64_t correctly (overloaded append() are ambiguous),L1
 Yield in QueryPlanSet,L1
 Server crashes when running PyMongo test suite,L1
" Mongo crashes, needs kill -9",L1
 Some commands need implementing for sharding,L1
 Update w/upsert ignores dbref field from query on insert,L1
 Server crash making index,L1
 concurrency issues with yielding,L1
 Local connection fails when there is no internet connection,L1
 Oplog entries contain repeated fields ($set),L1
" too many open files, lsof ""can't identify protocol""",L1
" web ui asserts, perhaps could crash?",L1
 Corruption during mapreduce on documents with arrays of binary data.,L1
 Server crashes while executing group with several incoming connections,L1
 distinct doesn't yield safely,L1
 Server crashes on CLI client exit,L1
 --repair fails with assertion 10334 Invalid BSONObj size: 0 (0x00000000) first element: EOO ns:local.oplog.rs query:{},L1
 db case check doesn't work with replication,L1
 Cluster shutted down without any instruction.,L1
 Sometimes geospatial requests do not return expected results,L1
 indexes causing non-distinct results in $or query,L1
 MongoDB stuck after db.getServerStatus().globalLock.currentQueue.writers exceeds 128 (windows),L1
 acquirePathLock isn't implemented for windows,L1
 shard_insert_getlsterror_w2 fails in dur context,L1
 Object.property doesn't work with ObjectId in querying,L1
 Mongod craches when killing pid running on kernel 2.6.32-5-xen-amd64,L1
 Database gets corrupted and reports duplicate collection names,L1
" If migrate fails, balancer shouldn't keep retrying same chunk",L1
 writeback doesn't connect to all nodes in a replica set,L1
 monogod --oplogSize flag is ignored on Windows,L1
 Cannot resize rs oplog with --oplogSize anymore,L1
 migrate TO side may not log index creation to secondaries,L1
 Socket Error: accept() returns -1 errno:10038,L1
 --fastsync broken with RS,L1
 db.printShardingStatus() causes all config servers to immediately crash (segfault),L1
 SEGV at BtreeCursor9prettyKey,L1
 Server does not properly store a BSON object that contains NaN,L1
 (DropDatabase + Sharding + Prefixed DB Name) = drops multiple collections,L1
 Dropping a collection does not free up disk space,L1
 exception: assertion util/mmap.cpp:167,L1
" too much data for sort() with no index, but index does exists, and run explain() it does show using BtreeCursor",L1
 New DB file created every few seconds,L1
 Cannot start new replica set member if another member recovering,L1
 Assertion error on mongod server start,L1
 Can't kill indexing operations,L1
 replicaet data integrity fail,L1
 replset synchronisation performance problem (storing files),L1
 Getting inconsistent query result,L1
 Change comparison order so all Dates sort before all Timestamps,L1
 Replication Set secondary doesn't restart replication after a network glitch,L1
 Segmentation Fault on Re-configuring Replica Set,L1
 Syncing a new replica in a replica set crashes the primary and leaves secondary in strange state,L1
" insert bulk doesn't fail on duplicate, but also doesn't change the data",L1
 Sporadically missing data from a query,L1
 findAndModify + fields returns nothing but _id,L1
 mongod crashes after starting with --master,L1
 getLastErrorDetailed does not report an error,L1
 Server crash - MapViewOfFileEx failed d:/data/local/  local.ns errno:487 Attempt to access invalid address. ,L1
 Terrible slow hasNext() together with insert(),L1
" mongod complains about too much data uncommitted, crashes with assertionFailure, then fails to start",L1
 Signal 11 crash,L1
 file/io warning on some numa system WAS - Got signal: 11 (Segmentation fault),L1
 Received signal 6 and mongos crashed,L1
 check auth on queries,L1
 Need to add snappy to 2.0 3rd party notices file,L1
 Segmentation fault on CentOS 5.6,L1
 mongod 2.0.0 crash ,L1
 Broken pipe of HTTP client lets mongod crash (Segmentation fault),L1
 MongoDB 2.0 crashes on Windows 7 x64,L1
 libmongoclient.so compilation error,L1
 mongod 2.0.0 -- segmentation fault,L1
 OpenCursors spikes and needs primary reset to recover,L1
 rs.reconfig(...) on 1.8.4_rc0 causes server to exit,L1
 server segfault when starting with a wrong replSet name,L1
 [SECURITY] mongodb 10gen debian package listens on all interfaces by default,L1
 Please make geo index insensitive to order of lat lng hash.,L1
 db.currentOp and db.killOp on mongos work without needing to auth(),L1
 ReplicaSet Intial Sync gives replSet syncTail: 11000 E11000 duplicate key error index,L1
 Assertion: 13636:file /data/db/production.5 open/create failed in createPrivateMap (look in log for more information),L1
 replSetStepDown must close socket on step down.,L1
 segmentation fault on map-reduce javascript syntax error,L1
 Index creation opens too many files for large array,L1
 One shard down at run time then insertion on both shard stop by mongos,L1
 one of the shard is down,L1
" config server  not started give  error ""there are no journal files to recover.""",L1
 mongod primary locks up and never kills cursors stalling connections for ever,L1
 Malformed aggregation runCommand invocation crashes mongod process,L1
 Read-only users should be denied access to system.users collection,L1
 Reject upsert if would create duplicate field names,L1
 movePrimary should fail if any sharded and undrained collections exists in db,L1
 mongos crash ,L1
 mongod is not started give error Got signal: 7 (Bus error).,L1
 mongod is not started give error Assertion: 15874:couldn't uncompress journal section,L1
 Running server in auth mode fails to close cursors leading to cursor accumulation on the server,L1
" Mongo 2.0.2 crashes when a large file is written to GridFS : ""Assertion failure a <= 512*1024*1024 util/alignedbuilder.cpp""",L1
" mongo c driver socket no time, one of mongod shard's m\c down , Mongo Driver wait for socket receive response infinite time. ",L1
 Mongos not clearing stale connections,L1
 Illegal math operations computing in JS V8 ,L1
 server crash when geoNear result grows past 64 MB,L1
 readonly user can save data through mapreduce function with a out-collectionName,L1
 double check after lock that ShardChunkManager in trySetVersion needs to be rebuilt ,L1
 Map Reduce Incorrectly Emitting null When a Constant Key is Used,L1
 fetching of docs in initial sync can assert,L1
 mongod locks up on OSX after less than two days of uptime,L1
 RS manager can demote current primary without any log messages or closing connections,L1
 Patch for SERVER-4333 for 2.0.x,L1
 Mongos Process Dying Signal 11,L1
 Resync fails due to out of memory,L1
 document field (key) magically changed by mongodb  ,L1
 Redefinition of macros while using the C++ driver makes it unusable with larger application code,L1
 Empty rows for mapreduce -> lock all db,L1
 segfault attempting mapreduce with --noscripting,L1
 Assertion failure writing to journal file,L1
 mongod: double free or corruption ,L1
 crash in C++ client driver during shutdowing primary mongo server from repset,L1
 Insertions in one collection eventually lead to corruption of unrelated collections,L1
 'mongo' on Solaris aborts on startup,L1
 Queries with nested collections fail after MongoDB reorders fields post-update,L1
 invalid system_js function will cause mongodb server crash.,L1
 Update may result in doc without shard key,L1
 Mongorestore to mongos when using auth is slow.,L1
 sharding (removeshard) & creating index(ensureIndex) - loop,L1
 $push is not idempotent,L1
" Error on failed index build during initial-sync results in warning message, not exception (or retry)",L1
 mongod. aborted by signal 6,L1
 sharding failed after restarting mongo,L1
 update push override the last element,L1
 Mongos crash on restart (signal 11) and never figures out a replicaset primary/secondary change,L1
 Failure in count6.js during sharding_passthrough,L1
 Mongod crashes with access denied if you spawn multiple shells inserting in quick succession,L1
" Seg Fault, Invalid access at address, Logstream::get called in uninitialized state, on 64bit mongodb 2.0.6",L1
 Replication failing - replSet syncTail: 0 assertion db/pdfile.cpp:398,L1
 read only user can get write priority,L1
 Build times out compiling queryoptimizertests.cpp on OS X 32-bit,L1
" $substr expression does not check arguments, can trigger an out_of_range exception causing mongod to abort",L1
 Duplicate key error causes secondaries to fassert() and crash,L1
" MongoD server crashes after inserted about 10GB worth of data with ""Assertion failure a <= 512*1024*1024 util/alignedbuilder.cpp""",L1
 shouldRetry needs a write lock,L1
 TTL collections not honoring strict timeout,L1
 mrShardedOutput.js,L1
 mongos all memory,L1
 replication fails with empty host,L1
" Mongos sets shard host string to ""set/"" without any seed members",L1
 replSetSyncFrom can break replication,L1
 Server crash,L1
 isMaster() hangs when called on REMOVED node,L1
 Got signal: 3 (Quit) and MongoDB hanged ,L1
 Background index builds on the primary are built in the foreground,L1
 Invalid access at address: 0x7f2e34021000 from thread: repl prefetch worker,L1
 Mongos crashed because of mongod cannot reach.,L1
 when running 2 or more MapReduce in parallel mongo crash,L1
" ""couldn't connect to new shard socket exception"" in addshard4.js",L1
 stale_clustered.js fails during overflow oplog stage,L1
 How to add a replica set's member into the sharding's shards,L1
 TTL monitor doesn't sync userFlags on the secondary,L1
 oplog is not strictly idempotent when unique index is present,L1
 Assertion: 10311:Number inf cannot be represented in JSON,L1
 All targeted queries will fail with db-level auth if primary shard is unavailable.,L1
 moveChunk Invalid access at address Segmentation Fault,L1
 Memory leak in mongos when using auth,L1
 Hard shutdown can leave replication in unrestartable state,L1
 debian mongodb package ignores some important parts of /etc/mongodb.conf,L1
 Too stale to catch up and 9001 socket exception,L1
 major issues with movePrimary on a non-drained shard,L1
 MongoDB 2.2 and MongoDB 2.0 cannot be mixed in sharded cluster,L1
 Inner Collection (w/ > 10000 entries) with Indexed Fields Dramatically hurt performance when adding new fields on the outer document or entries in the inner collection,L1
 verify assertion when new version of a document is requested that does not match dotted field expression of original query; excessive logging,L1
 $push idempotency issues with version 2.2.0,L1
 Deletions during chunk movement can cause migrations to fail,L1
" Get error in mongod ""  ERROR: Uncaught std::exception: boost::filesystem::basic_directory_iterator constructor: Too many open files: ""/u01/shard1/"", terminating""",L1
 Mongos crash on replica set failover,L1
 small oplog suite and manual execution of js tests that call startParallelShell do not work (small oplog / count8 buildbot failures),L1
 MongoS open one connection each primary per incoming connection,L1
 $not + $nin incorrectly matches documents,L1
 Aggregation should support Symbol type,L1
 update of element of a sublist updates the wrong element depending on the order the request was built,L1
 mongos crash with signal 6,L1
 Logic for checking namespace name length for new collection is faulty,L1
 getLastError updatedExisting field should be set true when $set is used to add a new field.,L1
 mongoimport does not report all failures,L1
 Immutable shardkey becomes mutable ,L1
 Windows memory leak in v8 wrapper,L1
 Issue with threads re-using previously released memory containing a Shard version,L1
 Database lockup during map/reduce job,L1
 Random mongos failure to contact whole cluster,L1
 exhaustReceiveMore() doesn't propagate error on recv(),L1
 mongos crash (segfault) under load,L1
 Different users in same unix group can't run mongod against single db owned by that group,L1
 getlasterror seems hang after some queries,L1
 Java driver is capable of crashing mongod with a simple insert,L1
" MongoDB 2.2.1/Linux, 32-bit crashing upon log rotation",L1
" File allocation leads to full disk, e4fs allocation error",L1
 Failover + [broken?] rollback causes data loss,L1
 Draining a shard stalled due to writebacksQueued stalled,L1
 aggregate command fails with $readPreference,L1
" replica set config field ""settings"" isn't returned from rs.conf()",L1
 manyclients.js failing since switch to V8,L1
 drop2.js failing on OS X DEBUG build,L1
 JS (v8) doesn't indent,L1
 mongo services on stopping gives Error 109 : Pipe has been ended,L1
" when start server ,something wrong",L1
 dumprestore10.js failing on node not recognizing self,L1
 killop of replication get more can cause replication operations to be skipped,L1
 Chunk size different on shards of same MongoDB cluster,L1
 multiple nodes in replica set crashed at the same time (E11000 duplicate key error index),L1
 Balancer doesn't work,L1
 Regex don't work with number,L1
" Mongo databases fileSize grows without bound, even though total dataSize doesn't change",L1
 uninitialised value in OID object due to bad struct alignment,L1
 SIGSEGV in db/clientcursor.cpp,L1
 listDatabases should always get config/admin dbstats from config servers,L1
 MapViewOfFileEx for [datafile] failed with errno:8 Not enough storage,L1
 validateBSONInternal can cause a stack overflow due to recursive calls,L1
 $centerSphere query hangs server,L1
" when lots of web server,   there is too many connections",L1
 Log warning if collections are missing _id index,L1
" Startup hangs infinitely, DataFileSync background job cannot create new thread",L1
 Large array result causes v8 shell to run out of memory,L1
 Server crashes when trying to append arrays (driver: rmongodb),L1
 Inserting with a compound shard key results in data on wrong shard,L1
 mongoimport (v2.3.2) bug with dates before unix-epoch. throws : BSON representation of supplied JSON is too large,L1
 Stemming and stop word deletion in phrases,L1
 CRUD operation fails: cannot update arrays using $set,L1
 mongoToV8Object crashes when converting from Native functions,L1
 Can't use benchRun() with auth,L1
 max_message_size.js failing on 32-bit windows,L1
 GhostSync::percolate() should refresh dead cursors with OplogReader::tailCheck(),L1
 Hashed Sharding pre-splitting behavior not to spec,L1
 Hashed Sharding numInitialChunks option produces inconsistant results,L1
" BinData constructor for V8 stores binary data as UTF-8, mangling it",L1
 unique index allowed insertion of duplicate,L1
 max_message_size.js keeps failing on Windows 32-bit,L1
 Prevent use of v8 state after error condition,L1
 slowNightly tests failing on covered_index_negative_1.js,L1
 Windows sockets overflow fd_set,L1
 auth failing in sharding tests,L1
 sharding_rs1.js failing intermittently on Solaris,L1
 basic.js failing intermittently on Windows 64,L1
 dbclient_rs_test threading issue,L1
" Starting non-ssl mongod in an RS where other nodes are SSL, crashes other nodes",L1
 replSetStepDown doesn't acknowledge that hidden nodes cannot become primary,L1
" 2.2.2 RS with SSL, upgrade one node to 2.4 with --sslCAFile - either 1. should work or 2. message misleading",L1
" 2 node 1 arb, 2.2.2 RS SSL, upgrade 2 nodes to 2.4.0-rc1, CRLFile, call rs.status() on shell connected to last 2.2.2 node, segfault ",L1
 ServerStatus().opcounters.inserts not incremented on mongos,L1
 Documents with null value for hashed shard key are not returned via mongos,L1
" 2.2.3, start without --sslPEMKeyPassword but with --sslPEMKeyFile, process zombies, shell hangs, uninterruptible",L1
 ConfigUpgradeTests failing across multiple platforms,L1
 Able to modify component of shard key,L1
 Able to unset embedded parts of the shard key -- changing it,L1
" Segmentation fault after replSet relinquishing primary state, network/SSL related",L1
" Once added a non-SSL node to an SSL RS, unable to add/remove any other node / kill reconfig operation",L1
 Sharded setup creates config database on a shard server,L1
 mongos unaware of database move after movePrimary,L1
 SELinux is grumpy with directory labels for mongodb,L1
 Simple client fail with segmentation fault in mongoclient library,L1
 Error while starting 2.4.0-rc2 on linux machine,L1
" Rename (serverStatus.metrics) ""document.scanned"" -> ""queryExecutor.scanned""",L1
 remove2.js failing on 2.2 branch,L1
" DistributedLock maybe concurrently insert some records with the same ""_id""",L1
 DBClientInterface::getLastError should test for command failures,L1
 We meet mongo db crash several time,L1
 Using DBRef as shard key not working anymore in 2.2.0+,L1
 Mongod 2.4.0 takes upto 99 % cpu and query result is undef,L1
 db.replSetInfo() issue with converting OpTimes to seconds,L1
 'Cloning' a document in JavaScript can create an empty _bson field,L1
 In place updates on documents containing indexed arrays slowing down exponentially with array size,L1
 Crash for mongod process. Linux x86_94.,L1
 Timestamp does not round trip correctly in V8 Javascript shell,L1
 mongorestore won't restore manually edited .metadata.json file if user editor adds trailing newline,L1
 Cannot Connect During Long Query,L1
 CLONE - Mongod 2.4.0 takes upto 99 % cpu and query result is undef,L1
 Mongo Server does not close stdout when using --fork and --syslog,L1
 serverStatus workingSet and indexCounters not working on Windows,L1
 db object no longer available to mapper,L1
 Mongo distributed locks aren't released => balancing stops working,L1
" Mongodb crashes using systemctl, else starts ok",L1
 Old primary crashed after stepDown - fatal assertion 16360,L1
 replsetprio1.js failing consistently on Solaris in v2.4 branch,L1
 mongod failed to start on FreeBSD 9.x,L1
 client session locks up when mongos socket goes into state warning: waiting for writeback 5166929d0000000000000492 from connection,L1
 replica set step down should fail if it will result in a rollback situation,L1
 rollback files missing after rollback,L1
 ns name too long leads to Fatal Assertion 16360 and replica set failure,L1
 Make findAndModify/update + upsert == atomic,L1
 Query results edited in javascript can create duplicate elements in the same document.,L1
 Read-only receivers in MapReduce code cause modifications to be silently ignored,L1
 mongodump'ing on Windows: performance regression from 2.0 to 2.2 to 2.4,L1
 Very slow page faulting on windows on find() - performance regression,L1
 Shards not discovered by mongostat in 2.4.3,L1
 Replica Set SECONDARY Fails to Come Online Following Full Re-Sync,L1
 compact should preserve namespace traits,L1
 parseInt(NumberLong()) Creates NaN,L1
 Init scripts overwritten during upgrades,L1
 Performance regression in Windows build,L1
 cant append for subdocument level 2,L1
 Asymmetrical network partition can cause the election of two PRIMARY nodes,L1
  15874:couldn't uncompress journal section [reopen],L1
 Assertion in mongos when running a command via a query on $cmd collection with incorrect limit when auth is enabled,L1
 Problems when starting MongoDB with > 1023 FDs,L1
 Potential problem with mongodb upgrade from 2.2.2 to 2.4.3,L1
 MONGO replica set is down due to duplicate key issue on one of the databases ,L1
 No check for building identical background indexes concurrently,L1
 Server deadlock caused by infinite $near & $geoWithin queries on 2dsphere index,L1
 Can't connect to mongo,L1
 Secondaries crash when too many indexes ,L1
 writing to a sharded collection vs an unsharded collection shows a 50-60% throughput drop off,L1
 mongod crashes when client disconnects (OpenIndiana 157a8),L1
 Slave hits Fatal Assertion 16361 during initial sync: objects in a capped ns cannot grow,L1
 mongod crash,L1
 MongoS configuration Setting ,L1
" AssertionException handling request, closing client connection: 16141 cannot translate opcode 17747",L1
 auth1.js failing on Linux 64 debug builds with --small-oplog,L1
 Buildbot: get_last_error.js failing on Linux 64 DEBUG (+ 6 more builders),L1
 Sorting on chunks not applied in differ,L1
 Repeated Server Crash. VirtualProtect failure in mongo::makeChunkWritable (Windows 7 x64).,L1
 buildbot: jstests/httpinterface.js fails on Linux 64-bit debug,L1
 buildbot: Linux 64 failing on fastsync.js,L1
 Check uniqueness of _id during migration,L1
" buildbot: mastermaster1.js ""User already exists with that username/userSource combination""",L1
 globals.h(127) Unexpected end-of-file found when building with MSVC2012,L1
 jstests/compact.js (via parallel/basic.js) failing on V2.4 OS X 64-bit,L1
 Heartbeats can time out due to high network latency while fetching oplog batches,L1
 initial_sync4.js failing on Windows 32-bit nightly,L1
 Multiple Errors on Sharded cluster,L1
 MONGO - ASSERTION ERROR,L1
 Passing impossible value to skip on aggregation framework causes mongo to exit with out of memory,L1
 MongoDB secondary member exception status with error 'replSet source for syncing doesn't seem to be await capable',L1
 Mongo Secondary instance crash with Fatal Assertion 16360,L1
" aggregation/testbugs.js (server5932.js) failed on Nightly Windows 64-bit DEBUG, Linux 32-bit",L1
  copydb mongod fails,L1
 a problem about covering a index,L1
 Seg Fault when parsing Point using 2dsphere Indexes ,L1
 Fail if javascript field names have nulls,L1
 regex search result difference  copy/paste and manual type ,L1
 Version 2.2.. You cannot connect to mongo server when Index creation is in progress,L1
 read_pref_cmd.js failed on multiple v2.4 builders,L1
 Unit test ExpressionTests::Set failure on Windows and C++11 builds,L1
 mongod crashes when re-mapping above user address space of 8TB on Windows,L1
" oplog_all_ops.js fails on Assertion failure, mutex problem when locking ReplicaSetMonitor",L1
 index_killop.js segfault and/or assertion failure on Linux 64 debug,L1
 Database is locked (or freezed) when database executes a Datafilesync,L1
 Invalid BSON docs lead to errors in complex queries,L1
 No new connections accepted under heavy load,L1
" MongoDB periodically segfaults, no error messages in mongo logs",L1
 Bulk insert is slow in sharded environment,L1
 Query results differ depending on the utilized index,L1
" add proper support for SIGSTOP and SIGCONT (currently, on replica set primary can cause data loss)",L1
 user_management_commands_parser_test failing on DEBUG builders,L1
 Sign the Windows MSI with code signing certificate,L1
 Need to include snmp files as part of the windows enterprise msi,L1
 rsHealthPoll causing segmentation fault,L1
 Need to include enterprise third party licenses in Windows enterprise distribution,L1
 Duplicate key error killed all secondaries on cluster,L1
 parallel tests failing since intro of user management shell helpers,L1
 SNMP MIB file cannot be parsed in snmpwalk,L1
